Sample,Type,tissue,A0A075B6H7,A8K2U0,E9PAV3,O43813,P04080,P05386,P05976,P06396,P06753,P08590,P08779,P09104,P09211,P12277,P12882,P12883,P13646,P14649,P15531,P17661,P19013,P21266,P21333,P24844,P25311,P27695,P35030,P35268,P49221,P49961,P55001,P56537,P61160,P61769,P61978,P62834,P78417,Q04446,Q08431,Q15847,Q15907,Q7Z5L7,Q8IUE6,Q969G5,Q96A08,Q9H853,Q9P1U1,Q9UKX2,O75131,P01833,P02533,P13647,P15309,P18510,P28072,P31151,P31947,P51148,P60981,P78527,Q13835,Q15124,Q9BR76,Q9P0M6,Q9UBG3,Q9Y4G6,O15144,O95865,P12273,P26373,P29536,P31948,P51571,P68871,Q02383,Q07954,Q96DR5,Q9HB40,Q9NSB4,Q9NZN4,O15127,O94760,P15259,P23284,Q02952,Q53EL6,Q53GG5,Q92835,Q9HAV7,Q9NP72,O75367,O00299,P07205,P49863
T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d,VSMC,Esophagus,0.0010229328390539824,0.05007885170584489,0.0004987383391795398,,0.0020688365523645513,,0.003389139117324708,,0.007263414529318078,0.003138421594532945,0.0011811272381088253,,,,0.010298704792510785,0.00048640634798900186,0.0019787905974338847,0.023760796516648988,,,0.0015074273316574773,,,,,,,,,,,,,,,,,,,,,,,,,0.0007993283886578819,,0.0018097175552218552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d,VSMC,Prostate,,,,0.0017218127733486092,0.0015534071780358113,0.0003561882770068511,,,,,,,0.00041769846796221356,0.0038965069084298883,,,,,0.0038302324277726977,,,,0.0019360224329878306,,,,0.0005523352387817529,,0.0496835094799643,,,0.0003612160656047544,,,0.00443962694065049,0.03600520636438296,,,,0.0015481188027504566,,0.003655675457733724,,,,0.0003397171973899953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d,VSMC,Testis,,,,0.0013656663395313238,0.0007261935154467187,,,,,,,,0.0008352864632468713,0.004228909378606675,,,,,0.0004461611868020383,,,,,,,0.0007110986773840352,,,,,0.001898789404394173,,0.0006889221896467633,,0.0007409355226610698,,0.0020504870723173484,,,0.0005594027509772464,0.0406333684788056,,0.000478508482319533,,0.030166213974354227,,0.0005968893801624051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d,VSMC,Ureter,0.013728928053323349,,,,0.0021851783420708294,0.000517168046428647,,,,,,0.0011957182696896798,0.0018128350102112984,0.00532584030430489,,,0.008541871241968762,,,0.0005017792770037882,,,0.005845264911846723,0.0004305176876319319,0.00045395182679522074,,,,,0.0006904108326959668,,,,,0.00977596685916397,,0.004300567091645849,,,0.0026846239735710898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d,VSMC,Adipose tissue,,,,,0.0013531007326516237,,,0.0012726102234282897,0.004424994210429397,,,,0.00035808929775085513,,,,,,,,,0.00028759368936569804,,,0.0004012161391907478,,0.0014740895799879468,0.022260539681953448,,,0.0009195604313145555,,,0.0009056754843385126,,,,0.021854538455086364,0.0003411027479378756,0.0015438282016006534,,,,0.017038834268057277,,0.00045888214599086743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d,VSMC,Prostate,,,,0.0017519633839710295,0.001408693477841081,,,,,,,,,0.003860253988390514,,,,,0.004705043822986087,0.0004048116857956305,,,0.0020661035780715205,,,,0.0005523352387817529,,0.051586622331667435,,,,,,0.004131452110806464,0.03573123534899984,,,,0.001845687545550882,,,,,,0.0005077517316440311,,,,,,,,,,,,0.0004742703956103065,,,,,0.0004336351720469465,,,,,,,,,,,,0.0076245305544887405,,,,,,,,,,,,,,,,,,,
T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d,VSMC,Esophagus,0.0010222239778077417,0.05007885170584489,0.0004987188412918197,,0.001911252652794954,,0.0035224427886023538,,0.007403025226868673,,0.0011811272381088253,,,,0.011253045070425457,,0.0022871915537574575,0.0234079305743878,,,0.0015074273316574773,,,,,,,,,,,,,,,,,,,,,,,,,0.0006604976047103253,,0.0018984318813452122,,,,,,,,,,,,,,,,,,,,,,,0.0005148501226883398,,,,,,,,,,,0.0005087556521511191,,,,,,,,,,,,
T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d,VSMC,Testis,,,,0.0012334928679902015,0.0008995292494424232,,,,,,,,0.0007189195214266378,0.004192656458567301,,,,,,,,,,,,,,,,,0.0020677731358769024,,0.000678355011006669,,0.0007647318657927194,,0.0021532781722587518,,,0.000547006134216982,0.03989972443654243,,,,0.03264509254678191,,0.0005968893801624051,,,,,,,,,,,,,,,,,,,,,0.0013461048856321725,,,,,,,,,,0.0014074798292392165,,,,,,,,,,,,0.014068811902762038,,,,
T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d,VSMC,Ureter,0.01275228531266821,,,,0.001977279202137014,,,,,,,0.0011957182696896798,0.0016185895394763593,0.005741556359006927,,,0.00934698398844909,,,0.0007456830742387552,,,0.005964963982802471,,0.0007370141050811237,,,,,,,,,,0.01002351064945341,,0.004635395762050031,,,0.002764083475422782,,,,,,,,,,,,,,,,,,0.0013339039194059338,,0.0008893959793133496,,,,,,,,0.0025179105027713883,,,,,,,,,,,,,,,,,,,,,,,,,,
T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d,VSMC,Skeletal muscle,,,0.0012860109385145284,,,,0.0008494286262730267,,0.000213252721535348,,,,,,0.0014258709129934869,0.00022996370934892543,,0.002132647622071811,,0.00016316092989520666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015321954420380117,,0.00012402136202979,0.00019061465954746067,0.0003344229176153417,0.0003010934340018141,0.04350378854131287,0.00011677618268308719,0.00012538699624323305,,,,,
T063431_AurEl7_PM7_CMB-1515_2_GC7_1_10086.d,VSMC,Prostate,,,,,0.001408693477841081,,,,,,,,0.0003774597235665249,0.004184336312388708,,,,,0.005595402654585951,0.0006062526888509274,,,0.0020617166282914903,,,,0.0005523352387817529,,,,0.0004616614047765696,,,,0.004499634471194924,0.03722633151045004,,,,0.001845687545550882,,,,,,0.0005777030104210321,,,,0.00040177642272963023,,,0.040298811066495716,,,,,,,,,,,,,,,,,,,,,,0.0076245305544887405,,,,,,,,,,,,,,,,,,,
T063431_AurEl7_PM7_CMB-1515_2_GC7_1_10086.d,VSMC,Esophagus,0.0010211058299344033,0.049397020832042615,,,0.0023224435784360603,,0.0035224427886023538,,0.007050047097721351,,0.0011811272381088253,,,,0.010433679168776017,0.0007099933425042716,0.002039842614327142,0.02129537832463301,,,0.0015074273316574773,,,,0.0006255928547319386,,,,,,,,,,,,,,,,,,,,,0.0007504337144012246,,0.0021765282095115687,,,,,,,,,,,,,,,,,,,,,,,0.0007278658633343223,,,,,,,,,,,,,,,,,,,,,,,
T063431_AurEl7_PM7_CMB-1515_2_GC7_1_10086.d,VSMC,Ureter,0.012435175818738597,,,,0.0025219801375817,,,,,,,0.0016415083489136192,0.0017269799041582045,0.005793562803780034,,,0.009885177036054321,,,0.0007728941579961485,,,0.005771053272374424,,0.000963812793971922,,,,,,,,,,0.010498066755488169,,0.005045276036063304,,,0.0036216193446689648,,,,,,,,,,,,,,,,,,,,0.0007736566751892427,,,,0.0018393592836458558,,,,0.0027337082491736843,,,,,,,,,,,,,,,,,,,,,,,,,,
T063431_AurEl7_PM7_CMB-1515_2_GC7_1_10086.d,VSMC,Testis,,,,,0.0009240691648439693,,,,,,,,0.0006082159555983358,0.0041003520179001066,,,,,0.0004461611868020383,,,,,,,,,,,,,,,,0.0007735232187634091,,0.00221709107054811,,,0.000547006134216982,0.03882056461601665,,0.00047600493047162616,,0.032371509458871336,,0.0005968893801624051,,,,,,,,0.00034004540566100097,,,,,,,,,,,0.0004000771457111238,,0.0013461048856321725,,,,,,,,,,0.0014074798292392165,,,,,,,,,,,,,,,,
T063431_AurEl7_PM7_CMB-1515_2_GC7_1_10086.d,VSMC,Skeletal muscle,,,,,,,0.0008715564995154413,,0.000213252721535348,,,,,,0.0015099703696872923,0.00022996370934892543,,0.0024945642978830835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011358497719501248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00014605518321827223,,,,0.0003344229176153417,0.0003010934340018141,0.04462293353647175,0.00010896899582864165,0.00012538699624323305,,,0.00010435192973247465,0.00010831858459553659,0.00013356765279339566
T063423_AurEl7_PM7_CMB-1515_6_GD3_1_10078.d,occlusie,Esophagus,0.0010222239778077417,0.050255375145791946,,,0.0021917763139816184,,0.004195037433013839,,0.007829921476939996,0.003138632758280664,0.0011811272381088253,,,0.0011329915290065856,0.010433679168776017,,0.0022795504236576662,0.02203791738940592,,,0.0011158268299706596,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030379703908261927,,,,,,0.05871646923198963,,,,,,,,,,,0.002856098333346107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063423_AurEl7_PM7_CMB-1515_6_GD3_1_10078.d,occlusie,Prostate,,,,,0.0013731025887373976,,,,,,,,,,,,,,0.004635800313955103,0.0003383770807642406,,,0.0020320533627212964,,,,0.0005523352387817529,,0.051586622331667435,,,0.0003612160656047544,,,0.004919444354255899,0.0347304942138374,,,,,,,,,,0.0006858880849939759,,,,0.00040177642272963023,,,0.03931077506018772,,,,,0.0005242554141506363,0.00038686800626730537,,,,0.00035559433345554755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063423_AurEl7_PM7_CMB-1515_6_GD3_1_10078.d,occlusie,Testis,,,,,0.0005458889261483051,,,,,,,,0.0006610517511753261,,,,,,0.0004461611868020383,,,,,,,,,,,,0.0019059118598583316,,0.00044218490120528643,,0.0007843833552308929,,0.0020506143536474556,,,,0.03886285988635674,,0.00047600493047162616,,0.030895368559380708,,0.0005968893801624051,,0.00032467043566383774,,,,,,0.00034004540566100097,,,0.00046658924338809527,,,,,,,,0.0004000771457111238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063423_AurEl7_PM7_CMB-1515_6_GD3_1_10078.d,occlusie,Ureter,0.011454197404501385,,,,0.002001383692822694,0.0007068819700085152,,,,,,0.0011295708447570836,0.0014709680127758557,,,,0.008607907125902021,,,0.0005070464183867755,,,0.00553889404461921,0.0005605901597503644,,,,,,,,,,,0.010935982060144593,,0.004602551825891576,,,,,,,,,0.0004989569201938266,,,,,,,,,,,,0.0012100168199402443,,0.0005024215405683083,,,,0.0017397278447005206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063423_AurEl7_PM7_CMB-1515_6_GD3_1_10078.d,occlusie,Tonsil,,,,,,,0.00782593712930218,,,0.004104848947714878,,,,0.0008422504336930995,,0.0011864229221859204,0.010947751059832452,,,,0.0010024864418765713,,,,,,,,,,,,,,,,,,,,,,,,,0.0012678192885068758,,0.0045901598418043865,,,0.0007849294842881286,0.0011787068515592802,,,,0.002565272584270986,0.0011072810280855995,,,,0.0020050527621705443,0.0013415525096894029,,,0.0063510066847279065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063425_AurEl7_PM7_CMB-1515_5_GD2_1_10080.d,occlusie,Esophagus,0.0010229328390539824,0.049920432601153156,,,0.001932825290378006,,0.003183859504640269,,0.006861628868926001,0.003138632758280664,0.0011811272381088253,,,0.001046030262276216,0.009338161259938582,,0.002039842614327142,0.020393837079709307,,,0.0017652831667429396,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002724138288045328,,,,,,0.05717278558793413,,,,,,,,,,,,,,,,,0.0009407709563895757,,,,,,,,,,,,,,,,,,,,,,,
T063425_AurEl7_PM7_CMB-1515_5_GD2_1_10080.d,occlusie,Prostate,,,,,0.0012847461987505727,,,,,,,,,,,,,,0.004635800313955103,0.0003642632365193529,,,0.001990358531391486,,,,0.0005523352387817529,,0.04762185321620857,,,0.0003612160656047544,,,0.004203038586433041,0.03429759688132475,,,,0.0014876136749752778,,,,,,0.0006950735176343715,,,,,,,0.03750506759288942,,,,,0.00045275746608885146,,,,,,,,,,,,,,,,0.00033633182716283805,0.0076245305544887405,,,,,,,,,,,,,,,,,,,
T063425_AurEl7_PM7_CMB-1515_5_GD2_1_10080.d,occlusie,Testis,,,,,0.0007689353469305663,,,,,,,,0.0005341625654884288,,,,,,0.0004461611868020383,,,,,,,,,,,,0.0017413501064708831,,0.00044218490120528643,,0.0007843833552308929,,0.002018412177130325,,,0.0005500873728409511,0.03722776973259889,,0.00047600493047162616,,0.02884749553656053,,0.000836059616946077,,,,,,,,,,,0.00038345369145804513,,,,,,,,,,0.0013461048856321725,,,,,,,,,,0.0009796925271838915,,,,,,,,,,,,,,,,
T063425_AurEl7_PM7_CMB-1515_5_GD2_1_10080.d,occlusie,Parotid gland,,,,,,,,,,,,,,0.0005242099913130359,,,,,,,,,,,0.0004114167681951161,,,,,,,,,,,,,,,,,,,,,0.0004002737884307212,,,,0.000885178633776905,0.0007693725640171916,,,,,,,,0.0008559193318002517,,,,,,,,0.0005561863796135326,,0.0015444089869357726,0.0005478670903002333,,0.0003917898111410956,0.0008323260528457885,,,0.0003940362597687766,0.0468821856356317,,0.0024452817184642196,0.0004086298980428118,,,,,,,,,,,,,,
T063425_AurEl7_PM7_CMB-1515_5_GD2_1_10080.d,occlusie,Adipose tissue,,,,,0.0012020844581645785,,,0.0012726102234282897,0.0039950153849070925,,,,0.0002901127313504304,0.0005773018420899043,,,,,,,,,,,0.0004012161391907478,,0.0014740895799879468,0.01945929547133571,,,0.0009195604313145555,,,0.0008690337014958358,,,,0.02102220692878655,0.0003411027479378756,0.0013829433203190109,,,,0.016467592592783895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003198578919047834,,,,,,,,,,,,,,,,,,,,,
T063429_AurEl7_PM7_CMB-1515_3_GC8_1_10084.d,occlusie,Esophagus,0.0010229328390539824,0.05093599960625366,,,0.001900054259786657,,0.0035745524055563415,,0.00759921677909874,,0.0011811272381088253,,,0.0009909995944389083,0.01021460533581698,0.0007184583941087325,0.0020357804951360242,0.023760796516648988,,,0.0017652831667429396,,,,,,,,,,,,,,,,,,,,,,,,,0.000828290109501206,,0.003019386876390221,,,,,,,,,,,,,,,,,,,,,,,0.0009407709563895757,,,,,,,,,,,,,,,,,,,,,,,
T063429_AurEl7_PM7_CMB-1515_3_GC8_1_10084.d,occlusie,Prostate,,,,0.0017218127733486092,0.001408693477841081,,,,,,,,0.0003363717606035619,,,,,,0.004634911011053459,0.00040410863461513136,,,0.0020729242164508727,,,,0.0005523352387817529,,0.05034374715129226,,,0.0003612160656047544,,,0.00407144458026203,0.03610180938976587,,,,0.0015862060834818525,,,,,,0.0004763163326112307,,,,0.00040177642272963023,,,,,,,,,,,,,0.0003083742438167327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063429_AurEl7_PM7_CMB-1515_3_GC8_1_10084.d,occlusie,Testis,,,,0.0013656663395313238,0.0008995628192045576,,,,,,,,0.0006613494867992191,,,,,,,,,,,,,,,,,,0.001903211382489454,,0.000678355011006669,,0.0007361377765949128,,0.0020504870723173484,,,0.000547006134216982,0.0397583684788056,,0.00047600493047162616,,0.030178680599153736,,0.000836059616946077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014074798292392165,,,0.0005000761438821853,,,,,,,,,0.013987701578407405,,,,
T063429_AurEl7_PM7_CMB-1515_3_GC8_1_10084.d,occlusie,Adipose tissue,,,,,0.001289304788060885,,,0.0012726102234282897,0.004424994210429397,,,,0.00035808929775085513,0.0006822140319981881,,,,,,,,,,,0.0005263995304871469,,0.0014740895799879468,0.022550323064899742,,,0.0009195604313145555,,,0.0009056754843385126,,,,0.023520835388850532,,0.0014815357288255856,,,,0.01784878699982246,,0.0004733060161819265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000436216012615464,,,
T063429_AurEl7_PM7_CMB-1515_3_GC8_1_10084.d,occlusie,Ureter,0.011365173513236036,,,,0.0019773799114234172,0.0007961910186428839,,,,,,0.001137014339979564,0.0016566303618024243,,,,0.008541871241968762,,,0.0006757256396730385,,,0.0059981037796654185,,0.0006046911686750883,,,,,0.0006904108326959668,,,,,0.008647732493857687,,0.004500520198160588,,,0.002496045775820678,,,,,,,,,,,,,,,,,,,,0.0004227647780685166,,,,0.0017397278447005206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
